"date","time","size","version","os","country","ip_id"
"2020-04-26","13:38:50",87662524,"4.0.0","win","US",1
"2020-04-26","13:39:05",77266252,"3.4.4","osx","US",2
"2020-04-26","13:39:16",33308720,"3.6.3","src","GB",3
"2020-04-26","13:39:38",81045831,"3.6.2","osx","US",4
"2020-04-26","13:39:41",11270105,"3.6.0","osx",NA,5
"2020-04-26","13:40:02",87660814,"4.0.0","win","JP",6
"2020-04-26","13:40:00",88043424,"4.0.0","osx","GB",7
"2020-04-26","13:40:25",87564166,"4.0.0","win",NA,5
"2020-04-26","13:40:34",87660372,"4.0.0","win",NA,5
"2020-04-26","13:40:42",77266246,"3.4.4","osx","US",2
"2020-04-26","13:40:41",87662125,"4.0.0","win","ES",8
"2020-04-26","13:40:54",88140006,"latest","osx","US",2
"2020-04-26","13:40:51",87564157,"4.0.0","win",NA,5
"2020-04-26","13:40:57",87660749,"4.0.0","win",NA,5
"2020-04-26","13:40:59",87564156,"4.0.0","win","KR",9
"2020-04-26","13:41:21",88140007,"latest","osx","US",2
"2020-04-26","13:41:35",87661433,"4.0.0","win","KR",10
"2020-04-26","13:41:45",83735567,"3.6.0","win","HK",11
"2020-04-26","13:41:52",78114110,"3.5.3","osx","US",2
"2020-04-26","13:42:07",87564163,"4.0.0","win","RU",12
"2020-04-26","13:41:55",87660669,"4.0.0","win",NA,5
"2020-04-26","13:42:10",87660300,"4.0.0","win","AE",13
"2020-04-26","13:42:09",87661451,"4.0.0","win","US",14
"2020-04-26","13:42:11",87564167,"4.0.0","win","DE",15
"2020-04-26","13:42:12",88149494,"4.0.0","osx","US",16
"2020-04-26","13:42:33",88140993,"4.0.0","osx","DE",17
"2020-04-26","13:42:39",87659753,"4.0.0patched","win","US",18
"2020-04-26","13:42:55",81774917,"3.6.3","osx","US",4
"2020-04-26","13:42:51",87663340,"4.0.0","win","RU",19
"2020-04-26","13:43:04",1050112,"4.0.0","win","IN",20
"2020-04-26","13:43:16",88140548,"4.0.0","osx","TH",21
"2020-04-26","13:43:15",29917623,"4.0.0","win",NA,5
"2020-04-26","13:43:35",87661183,"4.0.0","win",NA,5
"2020-04-26","13:43:40",87660418,"4.0.0","win","GB",22
"2020-04-26","19:18:45",87564163,"4.0.0","win","CN",23
"2020-04-26","19:18:59",88140276,"4.0.0","osx",NA,5
"2020-04-26","19:19:04",87664740,"4.0.0patched","win","US",24
"2020-04-26","19:19:19",29813390,"3.5.1","src","US",25
"2020-04-26","19:19:59",87564166,"4.0.0","win","FR",26
"2020-04-26","19:19:58",87661728,"4.0.0","win","IT",27
"2020-04-26","19:20:12",88147909,"4.0.0","osx","GB",28
"2020-04-26","19:20:15",81774920,"3.6.3","osx","US",4
"2020-04-26","19:20:20",87564156,"4.0.0","win","DE",29
"2020-04-26","19:20:20",87593378,"devel","win","US",30
"2020-04-26","19:20:24",87665012,"4.0.0","win","US",31
"2020-04-26","19:20:27",81774920,"3.6.3","osx","US",4
"2020-04-26","19:20:34",86524765,"3.6.3","win","DE",32
"2020-04-26","19:20:33",77266252,"3.4.4","osx","US",2
"2020-04-26","19:20:48",87660822,"4.0.0","win","IN",33
"2020-04-26","19:20:56",88143526,"4.0.0","osx",NA,5
"2020-04-26","19:20:53",88140563,"4.0.0","osx","US",34
"2020-04-26","19:20:57",81774916,"3.6.3","osx","US",35
"2020-04-26","19:20:51",87674781,"4.0.0","win","US",24
"2020-04-26","19:21:05",81774909,"3.6.3","osx","US",35
"2020-04-26","19:21:07",81774917,"3.6.3","osx","US",35
"2020-04-26","19:21:03",43524,"4.0.0","osx",NA,5
"2020-04-26","19:21:08",87661600,"4.0.0","win","KR",36
"2020-04-26","19:21:06",87660282,"4.0.0","win",NA,5
"2020-04-26","19:21:31",87661017,"4.0.0","win","RU",37
"2020-04-26","19:21:38",87661200,"4.0.0","win","US",38
"2020-04-26","19:21:46",81774921,"3.6.3","osx","US",4
"2020-04-26","19:21:41",81774921,"3.6.3","osx","US",4
"2020-04-26","19:21:54",87661765,"4.0.0","win",NA,5
"2020-04-26","19:21:52",87691240,"devel","win","US",39
"2020-04-26","19:22:15",87660867,"4.0.0","win","US",40
"2020-04-26","19:21:56",87666907,"4.0.0","win","SG",41
"2020-04-26","19:22:11",87676446,"4.0.0","win","CO",42
"2020-04-26","19:22:16",82456239,"3.4.4","win","US",24
"2020-04-26","19:22:36",88140295,"latest","osx","US",2
"2020-04-26","19:22:40",87665142,"4.0.0","win",NA,5
"2020-04-26","19:23:07",78114110,"3.5.3","osx","US",2
"2020-04-26","19:23:23",88144173,"4.0.0","osx","US",43
"2020-04-26","19:23:33",87564165,"4.0.0","win","US",44
"2020-04-26","19:23:27",88140484,"4.0.0","osx",NA,5
"2020-04-26","19:23:23",88043430,"4.0.0","osx","DK",45
"2020-04-26","19:48:40",82819525,"3.5.3","win","US",39
