District.ID,Distributer name,Buy rate (million),Sell rate(million),volumeIN(millioncubic litter),volume OUT(millioncubic litter),Year
I4N 1M1,shell,$957.70,$5779.92,933,843,1624
Z7O 7C2,reliance,$830.03,$1392.54,1067,722,1625
T6Q 0L9,hindustan,$994.57,$11765.97,1039,805,1626
S1J 8B8,Bharat,$881.25,$10345.43,1066,657,1627
O5C 2A0,Bharat,$867.67,$11141.66,1097,839,1628
F2C 6A5,shell,$820.48,$11992.70,996,891,1629
U6Z 9L5,shell,$817.12,$2105.57,1087,845,1630
K5F 7T2,reliance,$853.94,$1935.59,959,865,1631
G3A 8D8,Bharat,$839.71,$8189.83,979,739,1632
V6A 9B9,hindustan,$826.84,$3120.14,1023,797,1633
Y9L 7F1,Bharat,$974.48,$5479.10,965,827,1634
E6O 9P1,Bharat,$943.70,$9162.57,939,895,1635
C7W 9P0,reliance,$941.51,$2522.30,913,617,1636
O0M 5Y1,Bharat,$806.40,$6591.41,1016,812,1637
S0W 4D3,hindustan,$843.52,$10707.53,1079,822,1638
L8E 6S8,Bharat,$824.07,$5226.06,1054,838,1639
L0E 3D3,shell,$811.60,$6712.07,964,814,1640
I4J 3R2,hindustan,$927.24,$6437.93,995,822,1641
K9E 1R2,hindustan,$851.99,$9663.77,1041,787,1642
T6D 8L6,Bharat,$941.84,$3657.00,1053,761,1643
D2O 2X9,reliance,$945.72,$11278.71,1071,670,1644
C1V 3X9,Bharat,$921.80,$11458.73,968,869,1645
E6U 0I2,hindustan,$843.80,$8477.11,1096,613,1646
P3L 7M1,shell,$923.54,$941.45,993,687,1647
Q0U 9C9,Bharat,$823.01,$10465.43,992,720,1648
F9W 5Z0,shell,$929.08,$5302.33,983,849,1649
K3B 7W0,hindustan,$971.72,$1147.87,964,804,1650
P3Q 0Q9,hindustan,$976.39,$11503.42,940,618,1651
K0X 5B5,shell,$927.69,$9936.63,980,734,1652
C6I 6M0,shell,$847.40,$10098.45,908,879,1653
D2X 4E5,hindustan,$961.38,$7672.17,1034,686,1654
B0B 0W6,reliance,$916.45,$10176.51,964,619,1655
S3O 4E7,Bharat,$934.37,$8402.41,1089,718,1656
K3J 3I1,hindustan,$855.59,$10362.27,1048,719,1657
N6D 1V0,shell,$950.61,$10385.66,968,673,1658
P3U 3Y9,hindustan,$887.97,$2635.77,1002,768,1659
K7C 4C1,Bharat,$801.43,$3403.74,966,679,1660
X6Q 0I8,hindustan,$965.70,$9553.00,916,825,1661
H5N 9W3,hindustan,$971.70,$5174.57,1061,633,1662
L4B 4E5,shell,$980.39,$10692.36,918,886,1663
S7M 9R5,reliance,$889.97,$3017.50,1093,718,1664
S4W 1Q6,Bharat,$982.46,$11130.32,1016,735,1665
Z5V 9I3,shell,$837.23,$8572.79,1063,680,1666
V1Y 8E3,shell,$991.99,$3630.89,964,859,1667
L6Q 4S1,reliance,$894.16,$5084.26,971,714,1668
U3O 8L7,Bharat,$814.74,$2420.22,1066,704,1669
H7W 3Q3,shell,$933.42,$11320.74,1086,680,1670
D0E 3P2,shell,$849.20,$9079.34,989,626,1671
M3V 3B9,hindustan,$828.20,$1670.49,1019,753,1672
U5N 7L7,hindustan,$817.27,$3103.51,1016,894,1673
M1T 6D1,reliance,$904.97,$9277.89,955,641,1674
F3Q 7M9,hindustan,$953.63,$10118.49,947,816,1675
B9B 0X4,hindustan,$993.91,$9525.75,1075,771,1676
P2Q 9F1,hindustan,$913.72,$6138.56,953,798,1677
F2B 6E8,shell,$879.59,$2237.87,1001,691,1678
P4L 1O7,shell,$970.42,$1309.20,931,792,1679
Y5U 1W4,Bharat,$943.65,$6352.39,1034,756,1680
P2K 7Q7,shell,$990.13,$3761.48,911,853,1681
M2D 2M9,reliance,$830.37,$7018.01,1059,750,1682
T8R 7Y2,reliance,$877.47,$4646.70,1022,820,1683
Z0I 0G8,hindustan,$906.69,$2247.19,1084,711,1684
G3E 0S3,hindustan,$854.47,$6537.61,950,783,1685
E8K 2E4,hindustan,$846.10,$7692.50,1098,864,1686
Y1L 8H2,hindustan,$802.74,$8868.79,908,760,1687
B0Z 2R7,reliance,$999.49,$4201.45,1018,799,1688
K9N 3H4,reliance,$987.12,$1979.49,926,614,1689
X1U 0F9,Bharat,$950.59,$6311.54,1062,778,1690
P5Y 1A1,shell,$847.95,$5206.77,1031,818,1691
U2L 1I0,shell,$996.23,$2272.22,931,647,1692
M1J 2H6,shell,$823.98,$10886.58,1070,615,1693
L3K 9Z3,shell,$908.37,$3095.36,983,843,1694
H5V 0V1,reliance,$977.37,$9593.63,996,873,1695
K1Q 7N1,hindustan,$892.82,$2524.41,941,774,1696
W0M 8R7,shell,$861.23,$6561.97,1047,612,1697
D0T 3S5,Bharat,$829.69,$10931.80,934,694,1698
X2L 3E2,shell,$806.99,$8611.78,963,728,1699
Q6M 2R9,reliance,$974.45,$1220.43,1091,809,1700
N4O 3G0,Bharat,$959.43,$2017.46,1060,823,1701
Q0F 1B9,Bharat,$944.33,$3211.02,955,674,1702
F5O 1E7,reliance,$903.42,$10661.50,976,748,1703
C1K 7H9,shell,$961.39,$11873.44,950,692,1704
K7V 3D1,Bharat,$888.25,$9307.10,908,748,1705
U5G 0Q0,Bharat,$847.77,$8412.81,1029,840,1706
N2O 9Y7,hindustan,$914.27,$7788.40,1027,879,1707
V0Z 0F6,reliance,$911.06,$6832.22,1034,612,1708
I6U 1K6,shell,$988.13,$3117.65,1075,874,1709
F0B 7W9,reliance,$962.87,$2813.34,940,827,1710
W9Y 0O2,shell,$808.15,$4670.44,917,650,1711
S9I 7K3,Bharat,$959.29,$2335.54,1012,862,1712
W3W 5L2,shell,$916.89,$4407.97,968,820,1713
O2F 3S2,hindustan,$975.17,$3145.57,951,853,1714
X4V 4V9,Bharat,$881.93,$1488.07,1061,793,1715
Y7A 8W0,hindustan,$802.24,$8216.24,940,630,1716
K5O 0V6,hindustan,$876.10,$1617.16,957,778,1717
Z4R 2O7,reliance,$896.38,$7735.92,1072,709,1718
B1C 2A4,shell,$802.87,$9504.53,1006,656,1719
T0U 2V6,reliance,$800.41,$1202.30,1065,837,1720
J4M 4G3,shell,$969.53,$3251.54,925,895,1721
X0E 4R4,hindustan,$965.98,$3783.74,1095,746,1722
N9C 8V9,Bharat,$826.33,$1574.17,923,740,1723
M5M 6I7,Bharat,$914.01,$4196.20,1021,656,1724
O4I 3N9,hindustan,$957.00,$6797.12,988,823,1725
K3Z 9G3,shell,$881.80,$11027.29,1076,633,1726
F9H 4S7,Bharat,$826.89,$7707.39,1081,672,1727
D0B 2F3,Bharat,$960.08,$6017.85,1064,793,1728
R8N 2U2,shell,$877.96,$9989.23,986,703,1729
U6Q 5G9,shell,$980.66,$5472.28,1052,787,1730
I4E 6U4,shell,$820.57,$6835.51,992,668,1731
V8S 4P6,Bharat,$827.31,$5664.59,1091,627,1732
O1F 0L8,shell,$859.57,$4027.25,965,730,1733
O9N 4U8,shell,$917.16,$3229.00,1013,809,1734
I8X 7A3,Bharat,$934.46,$912.81,1008,741,1735
N8Z 7Q8,reliance,$803.96,$3981.58,934,696,1736
O9A 5G0,Bharat,$931.22,$1875.01,948,888,1737
Y8I 6V4,reliance,$829.22,$11480.72,906,619,1738
Z5B 8B7,shell,$845.43,$4236.75,1072,865,1739
C6S 4G1,shell,$965.26,$10310.73,938,855,1740
Q4W 8F6,reliance,$966.18,$7720.84,1033,624,1741
A5Q 3H2,Bharat,$890.25,$9382.24,1093,870,1742
I2C 3J0,Bharat,$984.40,$3900.66,1039,654,1743
X6F 8Y6,shell,$968.02,$3719.72,937,854,1744
H8W 3U0,hindustan,$902.03,$11913.87,1031,614,1745
R6N 9L2,shell,$845.65,$6663.58,1087,668,1746
B6R 6N7,shell,$837.27,$6135.82,1077,853,1747
J7Z 9V4,shell,$948.92,$4873.60,1095,649,1748
N0D 4G5,shell,$837.37,$5101.89,1082,675,1749
D7X 2X5,shell,$949.41,$10119.27,1004,714,1750
N1M 7S3,hindustan,$912.76,$6394.78,1030,784,1751
A2S 5V8,shell,$878.95,$11492.82,1011,849,1752
M1T 1U5,reliance,$964.00,$1853.59,1023,769,1753
R0W 9X1,shell,$930.89,$9626.23,965,712,1754
Z8E 1Z3,Bharat,$925.71,$11702.35,930,809,1755
A0I 5Q8,reliance,$879.35,$11789.66,1055,818,1756
L6U 6W5,hindustan,$969.02,$10407.88,936,845,1757
G7B 7Z6,Bharat,$969.22,$1225.56,1032,866,1758
O9P 9S3,reliance,$832.18,$10705.94,1083,897,1759
I0Z 2Z4,hindustan,$905.76,$1427.48,913,653,1760
F5Y 1V6,hindustan,$829.18,$3571.73,956,841,1761
K2W 7C6,Bharat,$868.53,$11292.43,915,640,1762
I3H 0Z4,Bharat,$959.94,$10202.05,1068,699,1763
F0H 9J3,hindustan,$856.19,$6966.57,916,761,1764
X2F 6Y4,Bharat,$910.08,$4938.25,953,850,1765
D6P 0Q5,reliance,$942.29,$6032.73,952,637,1766
R3W 2E3,shell,$846.63,$5026.04,1088,608,1767
M0V 9G8,reliance,$921.73,$3993.05,933,889,1768
N3N 0W9,shell,$913.08,$7957.92,1057,617,1769
K5M 5X0,Bharat,$953.10,$10329.15,918,859,1770
T8J 2I2,shell,$846.39,$7919.88,902,867,1771
Z9C 8Q6,reliance,$950.29,$5142.15,1003,825,1772
M6S 1P4,Bharat,$801.02,$11988.45,918,895,1773
G9F 6U7,hindustan,$897.13,$8029.54,937,607,1774
G4P 5B4,Bharat,$804.93,$10738.66,1026,872,1775
A2M 7X9,hindustan,$808.51,$7109.03,1048,858,1776
S6P 1H0,Bharat,$827.38,$5106.75,1057,800,1777
J1F 5T0,Bharat,$902.56,$6583.51,1033,840,1778
M2B 0Q2,reliance,$998.47,$11011.65,1088,687,1779
R2A 8Y1,Bharat,$986.18,$8013.05,1031,763,1780
B1Q 2H4,hindustan,$977.30,$5544.74,1024,634,1781
C9B 3Q8,reliance,$888.47,$1598.25,1098,641,1782
M4P 8L4,Bharat,$840.75,$11162.86,1040,775,1783
A0X 9H9,hindustan,$899.94,$3753.08,1048,625,1784
W5Q 9O8,shell,$912.84,$6828.55,991,723,1785
M4O 9Z9,reliance,$837.47,$2916.48,901,806,1786
