exchange,stock_symbol,stock_date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_avg_close
NYSE,QTM,08-02-2010,2.37,2.42,2.29,2.36,3013600,2.36
NYSE,QTM,05-02-2010,2.38,2.5,2.34,2.41,2687600,2.41
NYSE,QTM,04-02-2010,2.57,2.64,2.39,2.46,4529800,2.46
NYSE,QTM,03-02-2010,2.64,2.67,2.55,2.63,2688600,2.63
NYSE,QTM,02-02-2010,2.69,2.76,2.56,2.66,2959700,2.66
NYSE,QTM,01-02-2010,2.6,2.8,2.52,2.67,5050100,2.67
NYSE,QTM,29-01-2010,2.63,2.73,2.26,2.56,16484000,2.56
NYSE,QTM,28-01-2010,3.09,3.09,2.95,3.06,3986400,3.06
NYSE,QTM,27-01-2010,3.03,3.1,2.99,3.03,2431900,3.03
NYSE,QTM,26-01-2010,3.07,3.18,3,3.03,4027600,3.03
NYSE,QTM,25-01-2010,2.94,3.07,2.93,3.03,2285400,3.03
NYSE,QTM,22-01-2010,2.94,3.1,2.89,2.9,2986700,2.9
NYSE,QTM,21-01-2010,2.94,3.11,2.92,2.95,4547800,2.95
NYSE,QTM,20-01-2010,2.94,2.97,2.88,2.93,1883900,2.93
NYSE,QTM,19-01-2010,2.89,2.94,2.88,2.94,2089700,2.94
NYSE,QTM,15-01-2010,2.86,2.96,2.85,2.88,2908000,2.88
NYSE,QTM,14-01-2010,2.91,2.98,2.88,2.92,3425500,2.92
NYSE,QTM,13-01-2010,2.69,2.93,2.61,2.91,4795700,2.91
NYSE,QTM,12-01-2010,2.98,2.99,2.18,2.65,8417400,2.65
NYSE,QTM,11-01-2010,3.03,3.03,2.99,3,2082400,3
NYSE,QTM,08-01-2010,2.96,3.07,2.95,2.99,2863600,2.99
NYSE,QTM,07-01-2010,2.88,2.97,2.86,2.96,2580700,2.96
NYSE,QTM,06-01-2010,2.87,2.98,2.85,2.89,2425200,2.89
NYSE,QTM,05-01-2010,3.06,3.1,2.83,2.97,4879600,2.97
NYSE,QTM,04-01-2010,3.1,3.1,2.98,3,5793500,3
NYSE,QTM,31-12-2009,2.96,3,2.92,2.93,1422900,2.93
NYSE,QTM,30-12-2009,2.96,3.04,2.95,2.97,1447900,2.97
NYSE,QTM,29-12-2009,3.05,3.08,2.95,2.98,1763000,2.98
NYSE,QTM,28-12-2009,3.08,3.15,3.03,3.05,2873700,3.05
NYSE,QTM,24-12-2009,2.98,3.04,2.96,3.03,1442300,3.03
NYSE,QTM,23-12-2009,2.95,2.99,2.92,2.97,1823300,2.97
NYSE,QTM,22-12-2009,2.93,2.95,2.9,2.92,1926200,2.92
NYSE,QTM,21-12-2009,2.8,2.92,2.76,2.9,2660100,2.9
